Data Source File,middle-names.txt
Memory Manager Type,Best Fit
Total Memory Allocated by sbrk (bytes),16625
Size of freedMBList,1617
Size of allocMBList,930
Number of Times Blocks were Split,704
Number of Times Blocks were Merged,587
freedMBList:
Memory Block Address,Size,Content Starting Address,Contents
0x55fd7d3cb440,7,0x55fd7d3cb4e0,Gareth
0x55fd7d3cb4a0,6,0x55fd7d3cb540,Garey
0x55fd7d40c300,9,0x55fd7d3cb5a0,Garfield
0x55fd7d3cb500,6,0x55fd7d3cb5c0,Garik
0x55fd7d3cb560,7,0x55fd7d3cb620,Garner
0x55fd7d3cb5e0,7,0x55fd7d3cb680,Garold
0x55fd7d3cb640,8,0x55fd7d3cb6e0,Garrard
0x55fd7d3cb6a0,7,0x55fd7d3cb740,Garrek
0x55fd7d4083c0,7,0x55fd7d3cb7a0,Garret
0x55fd7d3cb760,8,0x55fd7d3cb800,Garreth
0x55fd7d3cb7c0,8,0x55fd7d3cb860,Garrett
0x55fd7d3cb820,8,0x55fd7d3cb8c0,Garrick
0x55fd7d3cb880,7,0x55fd7d3cb920,Garrik
0x55fd7d40b880,7,0x55fd7d3cb980,Garrot
0x55fd7d3cb940,8,0x55fd7d3cb9e0,Garrott
0x55fd7d3cb9a0,6,0x55fd7d3cba40,Garry
0x55fd7d3cba00,6,0x55fd7d3cbaa0,Garth
0x55fd7d3cba60,5,0x55fd7d3cbb00,Garv
0x55fd7d3cbac0,7,0x55fd7d3cbb60,Garvey
0x55fd7d40de40,7,0x55fd7d3cbbc0,Garvin
0x55fd7d3cbb80,6,0x55fd7d3cbc20,Garvy
0x55fd7d3cbbe0,7,0x55fd7d3cbc80,Garwin
0x55fd7d3cbc40,8,0x55fd7d3cbce0,Garwood
0x55fd7d3cbca0,5,0x55fd7d3cbd40,Gary
0x55fd7d3cbd00,7,0x55fd7d3cbda0,Gaspar
0x55fd7d4115c0,8,0x55fd7d3cbe00,Gaspard
0x55fd7d3cbdc0,8,0x55fd7d3cbe60,Gasparo
0x55fd7d3cbe20,7,0x55fd7d3cbec0,Gasper
0x55fd7d3cbe80,7,0x55fd7d3cbf20,Gaston
0x55fd7d3cbee0,10,0x55fd7d3cbf80,Gaultiero
0x55fd7d3c9830,9,0x55fd7d3cbfe0,Gauthier
0x55fd7d416a00,4,0x55fd7d3cc000,Gav
0x55fd7d3cbfa0,6,0x55fd7d3cc060,Gavan
0x55fd7d3cc020,6,0x55fd7d3cc0c0,Gaven
0x55fd7d3cc080,6,0x55fd7d3cc120,Gavin
0x55fd7d3cc0e0,7,0x55fd7d3cc180,Gawain
0x55fd7d3cc140,6,0x55fd7d3cc1e0,Gawen
0x55fd7d416d40,4,0x55fd7d3cc200,Gay
0x55fd7d3cc1a0,9,0x55fd7d3cc260,Gayelord
0x55fd7d3cc220,6,0x55fd7d3cc280,Gayle
0x55fd7d3c8370,7,0x55fd7d3cc2c0,Jessie
0x55fd7d40ec80,7,0x55fd7d3cc380,Justen
0x55fd7d410080,8,0x55fd7d3cc4c0,Rickard
0x55fd7d3d3780,7,0x55fd7d3cc540,Kipper
0x55fd7d3d29c0,7,0x55fd7d3cc580,Kinnie
0x55fd7d3cf660,7,0x55fd7d3cc6c0,Kermie
0x55fd7d3cd1e0,5,0x55fd7d3cc800,Kent
0x55fd7d40f180,8,0x55fd7d3cc880,Kennedy
0x55fd7d3cf960,7,0x55fd7d3cc9c0,Kermit
0x55fd7d407500,8,0x55fd7d3ccac0,Johnnie
0x55fd7d3d33c0,4,0x55fd7d3ccb00,Kit
0x55fd7d4086c0,5,0x55fd7d3ccc40,Joel
0x55fd7d3cd5a0,6,0x55fd7d3cccc0,Kevan
0x55fd7d416e00,4,0x55fd7d3ccd60,Gib
0x55fd7d410d00,4,0x55fd7d3ccde0,Rip
0x55fd7d4141c0,6,0x55fd7d3cce60,Kenon
0x55fd7d3d2880,7,0x55fd7d3ccea0,Kimble
0x55fd7d412240,7,0x55fd7d3ccfe0,Karlik
0x55fd7d416f20,4,0x55fd7d3cd000,Gil
0x55fd7d414100,7,0x55fd7d3cd100,Keelby
0x55fd7d412f40,7,0x55fd7d3cd140,Kaspar
0x55fd7d3ce2e0,6,0x55fd7d3cd300,Kevin
0x55fd7d410140,7,0x55fd7d3cd3c0,Justis
0x55fd7d3ceb60,7,0x55fd7d3cd440,Kennan
0x55fd7d3cf560,7,0x55fd7d3cd480,Rooney
0x55fd7d410cc0,6,0x55fd7d3cd4c0,Keefe
0x55fd7d408fc0,5,0x55fd7d3cd540,John
0x55fd7d40c100,4,0x55fd7d3cd5c0,Ken
0x55fd7d3cf060,7,0x55fd7d3cd640,Ronald
0x55fd7d4114c0,8,0x55fd7d3cd6c0,Riobard
0x55fd7d3cc980,1
