Data Source File,_data/middle-names.txt
Memory Manager Type,Worst Fit
Total Memory Allocated by sbrk (bytes),17039
Size of freedMBList,2056
Size of allocMBList,867
Number of Times Blocks were Split,1180
Number of Times Blocks were Merged,624
freedMBList:
Memory Block Address,Size,Content Starting Address,Contents
0x562aa990a6a0,5,0x562aa98bfa20,Gabi
0x562aa990a820,6,0x562aa98bfa80,Gabie
0x562aa990a880,5,0x562aa98bfba0,Gaby
0x562aa990a9a0,5,0x562aa98bfc00,Gael
0x562aa990ab20,7,0x562aa98bfc20,Gaelan
0x562aa990ab80,5,0x562aa98bfc80,Gage
0x562aa990b300,5,0x562aa98bfce0,Gail
0x562aa990b420,6,0x562aa98bfd40,Gaile
0x562aa98bca30,4,0x562aa98bfda0,Gal
0x562aa98bcf30,5,0x562aa98bfe00,Gale
0x562aa98fa580,6,0x562aa98bfe60,Galen
0x562aa98fa800,7,0x562aa98bff00,Galvan
0x562aa98fac40,7,0x562aa98bff20,Galven
0x562aa98fb240,7,0x562aa98bff40,Galvin
0x562aa98fb340,4,0x562aa98bffe0,Gan
0x562aa98fbd00,7,0x562aa98c0000,Gannie
0x562aa98fc280,7,0x562aa98c0020,Gannon
0x562aa98fc3c0,6,0x562aa98c0080,Ganny
0x562aa98fd740,4,0x562aa98c00e0,Gar
0x562aa98fdc40,7,0x562aa98c0100,Garald
0x562aa98fdcc0,5,0x562aa98c0160,Gard
0x562aa98fe280,7,0x562aa98c01c0,Gardie
0x562aa98c2240,9,0x562aa98c0240,Ricoriki
0x562aa98fe6c0,6,0x562aa98c02a0,Gardy
0x562aa98fea40,5,0x562aa98c0300,Gare
0x562aa99004c0,6,0x562aa98c0360,Garek
0x562aa9900980,7,0x562aa98c0380,Gareth
0x562aa9900b40,6,0x562aa98c03e0,Garey
0x562aa9901c00,6,0x562aa98c0480,Garik
0x562aa9904800,7,0x562aa98c04a0,Garner
0x562aa99053c0,7,0x562aa98c04c0,Garold
0x562aa98d5fa0,7,0x562aa98c0500,Reggis
0x562aa99055c0,7,0x562aa98c0520,Garrek
0x562aa9905780,7,0x562aa98c0540,Garret
0x562aa9905a80,7,0x562aa98c0620,Garrik
0x562aa9905b00,7,0x562aa98c0640,Garrot
0x562aa98fd880,8,0x562aa98c0680,Joseito
0x562aa9905c80,6,0x562aa98c06e0,Garry
0x562aa99062c0,6,0x562aa98c0740,Garth
0x562aa9906400,5,0x562aa98c07a0,Garv
0x562aa99067c0,7,0x562aa98c07c0,Garvey
0x562aa9906c80,7,0x562aa98c07e0,Garvin
0x562aa9907400,6,0x562aa98c0840,Garvy
0x562aa9909380,5,0x562aa98c0920,Gary
0x562aa990b5a0,4,0x562aa98c0b40,Gav
0x562aa990b600,6,0x562aa98c0b60,Gavan
0x562aa990b660,6,0x562aa98c0b80,Gaven
0x562aa990a2e0,6,0x562aa98c0ba0,Gavin
0x562aa990a340,6,0x562aa98c0c00,Gawen
0x562aa990b7e0,4,0x562aa98c0c60,Gay
0x562aa990ae20,6,0x562aa98c0cc0,Gayle
0x562aa98d8ba0,7,0x562aa98c0d40,Ricard
0x562aa990b980,5,0x562aa98c0e60,Gene
0x562aa990b9e0,5,0x562aa98c0ec0,Geno
0x562aa9909020,6,0x562aa98c0ee0,Geoff
0x562aa9909080,6,0x562aa98c1000,Georg
0x562aa98d5480,5,0x562aa98c1080,Rene
0x562aa98bbbb0,8,0x562aa98c1100,Joshuah
0x562aa9905020,5,0x562aa98c1180,Judd
0x562aa990ba40,6,0x562aa98c1220,Gerek
0x562aa990be80,5,0x562aa98c1300,Geri
0x562aa99097a0,6,0x562aa98c1360,Gerik
0x562aa98c3420,6,0x562aa98c13a0,Ricky
0x562aa9909aa0,6,0x562aa98c14c0,Gerri
0x562aa9909b00,6,0x562aa98c1520,Gerry
0x562aa990a040,5,0x562aa98c1580,Gery
0x562aa98d7700,4,0x562aa98c1600,Rex
0x562aa990a0a0,5,0x562aa98c16e0,Gian
0x562aa990a700,4,0x562aa98c17c0,Gib
0x562aa990a940,5,0x562aa98c1820,Gibb
0x562aa990aa00,6,0x562aa98c1880,Gibby
