Data Source File,first-names.txt
Memory Manager Type,First Fit
Total Memory Allocated by sbrk (bytes),21435
Size of freedMBList,2421
Size of allocMBList,990
Number of Times Blocks were Split,1180
Number of Times Blocks were Merged,759
freedMBList:
Memory Block Address,Size,Content Starting Address,Contents
0x55f3715618f0,5,0x55f371565090,Lois
0x55f3715622b0,5,0x55f371565110,Lola
0x55f371580db0,6,0x55f371565250,Lonni
0x55f37155b180,8,0x55f371565350,Chryste
0x55f37155d530,8,0x55f3715654d0,Grissel
0x55f3715714d0,1
0x55f3715abdb0,7,0x55f3715656d0,Clarie
0x55f37155b640,9,0x55f3715657d0,Cindelyn
0x55f37155ce00,6,0x55f3715659d0,Codee
0x55f37155cfc0,7,0x55f371565a10,Ramona
0x55f371572b50,1
0x55f3715650d0,1
0x55f37155b1e0,9,0x55f371565c90,Clarissa
0x55f3715636d0,1
0x55f371565590,2
0x55f37155e410,6,0x55f371566250,Cindi
0x55f3715640f0,6,0x55f371566290,Reiko
0x55f37155cb80,8,0x55f371566490,Glennis
0x55f37155b240,9,0x55f3715664d0,Chrystel
0x55f3715aab50,7,0x55f3715665d0,Goldie
0x55f37155bd40,7,0x55f371566690,Claire
0x55f3715ab050,8,0x55f371566750,Clemmie
0x55f37155ff50,8,0x55f371566790,Corabel
0x55f371562650,9,0x55f371566890,Clarette
0x55f3715653d0,6,0x55f371566a10,Clari
0x55f37158fc30,4,0x55f371566a50,Ray
0x55f371582cb0,2
0x55f37155c9c0,6,0x55f371566e90,Clary
0x55f37155f1f0,8,0x55f371566f10,Raquela
0x55f3715635f0,6,0x55f371566fd0,Loree
0x55f37155d470,11,0x55f371567090,Constancia
0x55f37155be80,7,0x55f371567210,Glenda
0x55f3715603d0,8,0x55f371567250,Cissiee
0x55f37155d970,9,0x55f371567850,Consuela
0x55f37155bd80,7,0x55f371567890,Lilyan
0x55f371569190,6,0x55f371567950,Conni
0x55f3715aae50,6,0x55f371567a90,Colly
0x55f37155ec30,6,0x55f371567c10,Lishe
