Data Source File,_data/middle-names.txt
Memory Manager Type,First Fit
Total Memory Allocated by sbrk (bytes),16856
Size of freedMBList,1757
Size of allocMBList,950
Number of Times Blocks were Split,852
Number of Times Blocks were Merged,595
freedMBList:
Memory Block Address,Size,Content Starting Address,Contents
0x56448dd26500,5,0x56448dcdf6c0,Gabe
0x56448dd26c80,5,0x56448dcdf720,Gabi
0x56448dd272c0,6,0x56448dcdf780,Gabie
0x56448dd28140,8,0x56448dcdf7e0,Gabriel
0x56448dd28200,9,0x56448dcdf840,Gabriele
0x56448dd28600,10,0x56448dcdf8a0,Gabriello
0x56448dd26dc0,5,0x56448dcdf8c0,Gaby
0x56448dd27400,5,0x56448dcdf920,Gael
0x56448dd277c0,7,0x56448dcdf940,Gaelan
0x56448dd27840,5,0x56448dcdf9a0,Gage
0x56448dd27c80,5,0x56448dcdfa00,Gail
0x56448dd28400,6,0x56448dcdfa60,Gaile
0x56448dd2bdc0,4,0x56448dcdfa80,Gal
0x56448dd28480,5,0x56448dcdfae0,Gale
0x56448dd28500,6,0x56448dcdfb40,Galen
0x56448dd28740,10,0x56448dcdfba0,Gallagher
0x56448dd288c0,8,0x56448dcdfc00,Gallard
0x56448dcdfbc0,7,0x56448dcdfc60,Galvan
0x56448dcdfc20,7,0x56448dcdfcc0,Galven
0x56448dcdfb60,7,0x56448dcdfd20,Galvin
0x56448dcdf860,9,0x56448dcdfd80,Gamaliel
0x56448dd2c040,4,0x56448dcdfda0,Gan
0x56448dcdf5a0,7,0x56448dcdfe00,Gannie
0x56448dcdf540,7,0x56448dcdfe60,Gannon
0x56448dcdfd40,6,0x56448dcdfe80,Ganny
0x56448dd2c6a0,4,0x56448dcdfea0,Gar
0x56448dcdfe20,7,0x56448dcdff00,Garald
0x56448dcdfce0,5,0x56448dcdff20,Gard
0x56448dcdf0c0,9,0x56448dcdff80,Gardener
0x56448dcdf4e0,7,0x56448dcdffa0,Gardie
0x56448dcdef80,9,0x56448dce0000,Gardiner
0x56448dcdf3e0,8,0x56448dce0020,Gardner
0x56448dcdf440,6,0x56448dce0040,Gardy
0x56448dcdfdc0,5,0x56448dce0060,Gare
0x56448dcdf2a0,6,0x56448dce0080,Garek
0x56448dcdf120,7,0x56448dce00e0,Gareth
0x56448dcdef00,6,0x56448dce0140,Garey
0x56448dcdee80,9,0x56448dce01a0,Garfield
0x56448dce0160,6,0x56448dce0200,Garik
0x56448dce01c0,7,0x56448dce0260,Garner
0x56448dcdedc0,7,0x56448dce02c0,Garold
0x56448dce0280,8,0x56448dce0320,Garrard
0x56448dcdec40,7,0x56448dce0340,Garrek
0x56448dcdebe0,7,0x56448dce03a0,Garret
0x56448dce0360,8,0x56448dce0400,Garreth
0x56448dce03c0,8,0x56448dce0460,Garrett
0x56448dce0420,8,0x56448dce04c0,Garrick
0x56448dcdeb20,7,0x56448dce0520,Garrik
0x56448dcdeac0,7,0x56448dce0580,Garrot
0x56448dcde840,8,0x56448dce05e0,Garrott
0x56448dcde7e0,6,0x56448dce0640,Garry
0x56448dcde660,6,0x56448dce06a0,Garth
0x56448dcdfec0,5,0x56448dce06c0,Garv
0x56448dcde600,7,0x56448dce0720,Garvey
0x56448dcde5a0,7,0x56448dce0780,Garvin
0x56448dce0660,6,0x56448dce07a0,Garvy
0x56448dce0740,7,0x56448dce0800,Garwin
0x56448dce07c0,8,0x56448dce0860,Garwood
0x56448dcdefe0,5,0x56448dce0880,Gary
0x56448dcde540,7,0x56448dce08e0,Gaspar
0x56448dcdda10,6,0x56448dce0960,Karel
0x56448dce08a0,7,0x56448dce0980,Gasper
0x56448dce6e80,5,0x56448dce0a00,John
0x56448dd2ca20,4,0x56448dce0a60,Gav
0x56448dcdca70,7,0x56448dce0ae0,Jessie
0x56448dd1bc00,7,0x56448dce0b60,Joseph
0x56448dd2cb20,4,0x56448dce0bc0,Gay
0x56448dd1d740,6,0x56448dce0c40,Julio
0x56448dce0ee0,9,0x56448dce0d00,Robinson
0x56448dcdee20,5,0x56448dce0da0,Gene
0x56448dcdeb80,5,0x56448dce0dc0,Geno
0x56448dd22e60,3
0x56448dd25420,8,0x56448dce0e80,Reinold
0x56448dcdddf0,10,0x56448dce0f00,Reginauld
0x56448dcdd3b0,6,0x56448dce0fc0,Johan
0x56448dce0540,5,0x56448dce1220,Geri
0x56448dce15a0,10,0x56448dce14e0,Justinian
0x56448dd2cbe0,4,0x56448dce16c0,Gib
0x56448dd278e0,1
0x56448dd1d000,4,0x56448dce1960,Gil
0x56448dcdd450,1
0x56448dd20a40,8,0x56448dce1aa0,Richard
0x56448dd1ed20,1
0x56448dd242a0,3
0x56448dcddbf0,7,0x56448dce1ea0,Reilly
0x56448dcde170,9,0x56448dce1f20,Jonathan
0x56448dcdd9b0,9,0x56448dce1f60,Johannes
0x56448dd1d2c0,7,0x56448dce1fe0,Julian
0x56448dcdd330,5,0x56448dce2460,Joey
0x56448dd1c5c0,5,0x56448dce24e0,Judd
0x56448dd21940,7,0x56448dce2520,Robert
0x56448dd1e2c0,6,0x56448dce2820,Karim
0x56448dd1c9c0,7,0x56448dce2c60,Josiah
0x56448dce3ae0,6,0x56448dce2da0,Jimmy
0x56448dd1bc80,5,0x56448dce2fe0,Josh
0x56448dd1eec0,4,0x56448dce3040,Gun
0x56448dd25d00,4,0x56448dce31a0,Gus
0x56448dd27040,4,0x56448dce3400,Guy
0x56448dd27640,4,0x56448dce3420,Had
0x56448dd1e900,6,0x56448dce34e0,Rikki
0x56448dcdd2f0,7,0x56448dce3560,Reggis
0x56448dd1d200,6,0x56448dce35e0,Ricki
0x56448dd27b00,4,0x56448dce36c0,Hal
0x56448dd25500,8,0x56448dce3740,Riordan
0x56448dcdf800,4,0x56448dce38a0,Ham
0x56448dce4fa0,2
0x56448dce43a0,2
0x56448dd23ec0,9,0x56448dce3ba0,Richmond
0x56448dcdd1b0,4,0x56448dce3d20,Joe
0x56448dd1cdc0,7,0x56448dce3f20,Josias
0x56448dd215c0,7,0x56448dce3f60,Robers
0x56448dcdd7f0,7,0x56448dce4120,Johann
0x56448dcdcd70,6,0x56448dce4420,Reggy
0x56448dd1cd40,5,0x56448dce44a0,Jule
0x56448dce62e0,1
0x56448dd1e940,7,0x56448dce4b20,Kareem
0x56448dce7f00,3
0x56448dcded40,4,0x56448dce5000,Hew
0x56448dd29aa0,3,0x56448dce51a0,Hi
0x56448dd1c900,8,0x56448dce51e0,Joshuah
0x56448dcddeb0,10,0x56448dce5320,Johnathan
0x56448dd1d900,7,0x56448dce54e0,Ricard
0x56448dd1c080,5,0x56448dce5520,Rich
0x56448dce6580,5,0x56448dce55a0,Kale
0x56448dce7940,2
0x56448dd1e1c0,6,0x56448dce58e0,Kalle
0x56448dd1b900,7,0x56448dce5e20,Renard
0x56448dd1e500,9,0x56448dce6060,Reinhold
0x56448dd1d040,6,0x56448dce63e0,Judon
0x56448dd2a980,3,0x56448dce6440,Hy
0x56448dd1ca40,6,0x56448dce64c0,Judas
0x56448dce0480,4,0x56448dce65a0,Ian
0x56448dd1b980,6,0x56448dce6660,Rhett
0x56448dcdd570,6,0x56448dce66a0,Jonah
0x56448dcddcd0,5,0x56448dce66e0,Rene
0x56448dd1bd00,5,0x56448dce6820,Rice
0x56448dcde8c0,4,0x56448dce6880,Ike
0x56448dcdcdf0,7,0x56448dce6900,Jimmie
0x56448dd1c500,7,0x56448dce6a80,Joshia
0x56448dce7f80,7,0x56448dce6b00,Justis
0x56448dd27300,8,0x56448dce6d80,Robinet
0x56448dce05a0,4,0x56448dce6de0,Ira
0x56448dce0820,4,0x56448dce6e00,Irv
0x56448dd27440,8,0x56448dce7280,Roderic
0x56448dd1c200,8,0x56448dce7300,Joseito
0x56448dd1ef20,4,0x56448dce7340,Jon
0x56448dd1c780,7,0x56448dce7500,Joshua
0x56448dce10c0,2
0x56448dd221c0,6,0x56448dce7600,Roddy
0x56448dcdc3b0,5,0x56448dce7b00,Jock
0x56448dd1b640,7,0x56448dce7dc0,Jordon
0x56448dd1df40,5,0x56448dce7e80,Ring
0x56448dd1b780,6,0x56448dce8040,Reube
0x56448dcdc0d0,6,0x56448dce8200,Reese
0x56448dd2aac0,3,0x56448dce82c0,Jo
0x56448dd1be00,7,0x56448dce8500,Renato
0x56448dce5100,9,0x56448dce8580,Kahaleel
0x56448dcddf70,10,0x56448dce8840,Johnathon
0x56448dd281e0,1
0x56448dd23d20,5,0x56448dce8a00,Juan
0x56448dcdcd30,7,0x56448dce8b40,Jethro
0x56448dd1ee80,7,0x56448dce8e00,Karlan
0x56448dd1ef00,8,0x56448dce8e20,Karlens
0x56448dd1f380,7,0x56448dce8e40,Karlik
0x56448dd1f640,7,0x56448dce8ea0,Karlis
0x56448dd1f840,7,0x56448dce8f00,Karney
0x56448dd1fb40,7,0x56448dce8f60,Karoly
0x56448dd1fd00,7,0x56448dce8fc0,Kaspar
0x56448dd20080,7,0x56448dce9020,Kasper
0x56448dd1dce0,6,0x56448dce9040,Kayne
0x56448dd1f100,5,0x56448dce90a0,Kean
0x56448dd1f240,6,0x56448dce90c0,Keane
0x56448dd20a00,8,0x56448dce9120,Kearney
0x56448dd1ff40,6,0x56448dce9140,Keary
0x56448dd20180,6,0x56448dce9160,Keefe
0x56448dd20240,7,0x56448dce9180,Keefer
0x56448dd20580,7,0x56448dce91a0,Keelby
0x56448dd1f300,5,0x56448dce91c0,Keen
0x56448dd20c40,7,0x56448dce9220,Keenan
0x56448dd20500,6,0x56448dce9240,Keene
0x56448dd1fec0,5,0x56448dce9260,Keir
0x56448dd20d80,6,0x56448dce92c0,Keith
0x56448dd20f00,7,0x56448dce9320,Kelbee
0x56448dd20f80,6,0x56448dce9380,Kelby
0x56448dd20e40,5,0x56448dce93a0,Kele
0x56448dd21240,7,0x56448dce93c0,Kellby
0x56448dd21400,7,0x56448dce9420,Kellen
0x56448dd21500,7,0x56448dce9440,Kelley
0x56448dd211c0,6,0x56448dce9460,Kelly
0x56448dd216c0,7,0x56448dce94c0,Kelsey
0x56448dd22000,7,0x56448dce94e0,Kelvin
0x56448dd222c0,7,0x56448dce9500,Kelwin
0x56448dce2be0,4,0x56448dce9520,Ken
0x56448dd225c0,7,0x56448dce9580,Kendal
0x56448dd22780,8,0x56448dce95e0,Kendall
0x56448dd228c0,8,0x56448dce9640,Kendell
0x56448dd22ac0,9,0x56448dce96a0,Kendrick
0x56448dd22f00,10,0x56448dce9700,Kendricks
0x56448dd212c0,5,0x56448dce9760,Kenn
0x56448dd22b80,7,0x56448dce97c0,Kennan
0x56448dd22c40,8,0x56448dce97e0,Kennedy
0x56448dd23000,8,0x56448dce9840,Kenneth
0x56448dd23300,8,0x56448dce98a0,Kennett
0x56448dd23600,7,0x56448dce9900,Kennie
0x56448dd236c0,8,0x56448dce9920,Kennith
0x56448dd219c0,6,0x56448dce9940,Kenny
0x56448dd22340,6,0x56448dce9960,Kenon
0x56448dd217c0,5,0x56448dce9980,Kent
0x56448dd23780,7,0x56448dce99e0,Kenton
0x56448dd23ac0,7,0x56448dce9a40,Kenyon
0x56448dce7040,4,0x56448dce9a60,Ker
0x56448dd22a40,6,0x56448dce9a80,Kerby
0x56448dd22100,5,0x56448dce9aa0,Kerk
0x56448dd23c80,7,0x56448dce9b00,Kermie
0x56448dd23e80,7,0x56448dce9b60,Kermit
0x56448dd23800,6,0x56448dce9b80,Kermy
0x56448dd22e40,5,0x56448dce9ba0,Kerr
0x56448dd24140,6,0x56448dce9c00,Kerry
0x56448dd24240,7,0x56448dce9c60,Kerwin
0x56448dd244c0,8,0x56448dce9cc0,Kerwinn
0x56448dce3180,4,0x56448dce9ce0,Kev
0x56448dd24600,6,0x56448dce9d00,Kevan
0x56448dd24700,6,0x56448dce9d60,Keven
0x56448dd24780,6,0x56448dce9dc0,Kevin
0x56448dd248c0,6,0x56448dce9e20,Kevon
0x56448dd24980,7,0x56448dce9e40,Khalil
0x56448dd23940,5,0x56448dce9e60,Kiel
0x56448dd24ac0,7,0x56448dce9ec0,Kienan
0x56448dd23a00,5,0x56448dce9ee0,Kile
0x56448dd24a00,6,0x56448dce9f00,Kiley
0x56448dd24b80,7,0x56448dce9f60,Kilian
0x56448dd24d80,8,0x56448dce9fc0,Killian
0x56448dd24ec0,7,0x56448dcea020,Killie
0x56448dd25080,6,0x56448dcea040,Killy
0x56448dce8700,4,0x56448dcea060,Kim
0x56448dd254c0,8,0x56448dcea080,Kimball
0x56448dd25a40,8,0x56448dcea0e0,Kimbell
0x56448dd25240,7,0x56448dcea100,Kimble
0x56448dd1c300,4,0x56448dcea120,Kin
0x56448dd260c0,8,0x56448dcea180,Kincaid
0x56448dd25140,5,0x56448dcea1e0,King
0x56448dd26340,9,0x56448dcea240,Kingsley
0x56448dd266c0,8,0x56448dcea2a0,Kingsly
0x56448dd26840,9,0x56448dcea300,Kingston
0x56448dd25540,7,0x56448dcea320,Kinnie
0x56448dd257c0,6,0x56448dcea380,Kinny
0x56448dd269c0,8,0x56448dcea3e0,Kinsley
0x56448dd1d6c0,4,0x56448dcea400,Kip
0x56448dd25340,5,0x56448dcea420,Kipp
0x56448dd25c40,7,0x56448dcea440,Kippar
0x56448dd25d40,7,0x56448dcea460,Kipper
0x56448dd25f80,7,0x56448dcea480,Kippie
0x56448dd25940,6,0x56448dcea4a0,Kippy
0x56448dd25e40,6,0x56448dcea4c0,Kirby
0x56448dd26040,5,0x56448dcea520,Kirk
0x56448dd1de00,4,0x56448dcea540,Kit
0x56448dd26400,6,0x56448dcea5a0,Klaus
0x56448dd26f00,8,0x56448dcea600,Klemens
0x56448dd27080,8,0x56448dcea660,Klement
0x56448dd264c0,6,0x56448dcea6c0,Kleon
0x56448dd27540,8,0x56448dcea720,Kliment
0x56448dd26580,5,0x56448dcea780,Knox
0x56448dd27880,9,0x56448dcea7e0,Koenraad
0x56448dd26b40,7,0x56448dcea800,Konrad
0x56448dd27b40,11,0x56448dcea860,Konstantin
0x56448dd28580,12,0x56448dcea8c0,Konstantine
0x56448dd26ac0,6,0x56448dcea8e0,Korey
0x56448dd26bc0,5,0x56448dcea900,Kort
0x56448dd26c40,5,0x56448dcea920,Kory
0x56448dd26d40,5,0x56448dcea980,Kris
0x56448dd27cc0,7,0x56448dcea9a0,Krisha
0x56448dce0940,8,0x56448dcea9c0,Krishna
0x56448dce09e0,9,0x56448dceaa20,Krishnah
0x56448dce0be0,8,0x56448dceaa80,Krispin
0x56448dce0d60,9,0x56448dceaae0,Kristian
0x56448dd27fc0,7,0x56448dceab00,Kristo
0x56448dce0fa0,10,0x56448dceab60,Kristofer
0x56448dce1060,11,0x56448dceabc0,Kristoffer
0x56448dce1120,10,0x56448dceac20,Kristofor
0x56448dce1280,11,0x56448dceac80,Kristoforo
0x56448dce1340,11,0x56448dceace0,Kristopher
0x56448dce11e0,8,0x56448dcead40,Kristos
0x56448dd273c0,5,0x56448dceada0,Kurt
0x56448dd282c0,7,0x56448dceadc0,Kurtis
0x56448dd2b780,3,0x56448dceade0,Ky
0x56448dd27740,5,0x56448dceae40,Kyle
0x56448dd281c0,6,0x56448dceae60,Kylie
0x56448dd28840,6,0x56448dceae80,Laird
0x56448dd27ac0,5,0x56448dceaea0,Lalo
0x56448dd28a00,6,0x56448dceaec0,Lamar
0x56448dce1480,8,0x56448dceaf20,Lambert
0x56448dce1580,8,0x56448dceaf80,Lammond
0x56448dce0b40,7,0x56448dceafa0,Lamond
0x56448dce0ea0,7,0x56448dceafc0,Lamont
0x56448dce0ac0,6,0x56448dceafe0,Lance
0x56448dce1760,9,0x56448dceb040,Lancelot
0x56448dce18e0,5,0x56448dceb0a0,Land
0x56448dce1a00,5,0x56448dceb100,Lane
0x56448dce1c80,6,0x56448dceb160,Laney
0x56448dce1d80,9,0x56448dceb180,Langsdon
0x56448dce1ec0,9,0x56448dceb1e0,Langston
0x56448dce2100,6,0x56448dceb240,Lanie
0x56448dce2200,7,0x56448dceb2a0,Lannie
0x56448dce2280,6,0x56448dceb2c0,Lanny
0x56448dce2340,6,0x56448dceb320,Larry
0x56448dce1b40,5,0x56448dceb340,Lars
0x56448dce2440,9,0x56448dceb3a0,Laughton
0x56448dce2540,7,0x56448dceb3c0,Launce
0x56448dce25c0,7,0x56448dceb420,Lauren
0x56448dce27c0,9,0x56448dceb480,Laurence
0x56448dce2880,8,0x56448dceb4e0,Laurens
0x56448dce2a40,8,0x56448dceb540,Laurent
0x56448dce2740,7,0x56448dceb560,Laurie
0x56448dce2bc0,8,0x56448dceb580,Lauritz
0x56448dd207c0,4,0x56448dceb5a0,Law
0x56448dce2d40,9,0x56448dceb600,Lawrence
0x56448dce2b00,6,0x56448dceb660,Lawry
0x56448dce2cc0,7,0x56448dceb6c0,Lawton
0x56448dd21d40,4,0x56448dceb6e0,Lay
0x56448dce2ec0,7,0x56448dceb740,Layton
0x56448dce2c40,6,0x56448dceb760,Lazar
0x56448dce2f80,7,0x56448dceb7c0,Lazare
0x56448dce30a0,7,0x56448dceb7e0,Lazaro
0x56448dce3120,8,0x56448dceb840,Lazarus
0x56448dd22480,4,0x56448dceb860,Lee
0x56448dce3380,8,0x56448dceb880,Leeland
0x56448dce3580,6,0x56448dceb8a0,Lefty
0x56448dce3900,10,0x56448dceb900,Leicester
0x56448dce1e40,5,0x56448dceb920,Leif
0x56448dce3600,6,0x56448dceb940,Leigh
0x56448dce3d00,9,0x56448dceb9a0,Leighton
0x56448dd23200,4,0x56448dceb9c0,Lek
0x56448dce3820,7,0x56448dceb9e0,Leland
0x56448dd238c0,4,0x56448dceba00,Lem
0x56448dce3a00,6,0x56448dceba60,Lemar
0x56448dce3ac0,7,0x56448dceba80,Lemmie
0x56448dce3c00,6,0x56448dcebae0,Lemmy
0x56448dce3ec0,7,0x56448dcebb40,Lemuel
0x56448dce4000,7,0x56448dcebba0,Lenard
0x56448dce4100,6,0x56448dcebc00,Lenci
0x56448dce4240,8,0x56448dcebc60,Lennard
0x56448dce4340,7,0x56448dcebcc0,Lennie
0x56448dd24d00,4,0x56448dcebce0,Leo
0x56448dce26c0,5,0x56448dcebd00,Leon
0x56448dce4440,8,0x56448dcebd60,Leonard
0x56448dce4500,9,0x56448dcebdc0,Leonardo
0x56448dce46c0,8,0x56448dcebe20,Leonerd
0x56448dce4800,9,0x56448dcebe80,Leonhard
0x56448dce43c0,7,0x56448dcebea0,Leonid
0x56448dce4900,9,0x56448dcebec0,Leonidas
0x56448dce4a80,8,0x56448dcebf20,Leopold
0x56448dce4600,6,0x56448dcebf80,Leroi
0x56448dce4780,6,0x56448dcebfe0,Leroy
0x56448dce3f80,4,0x56448dcec040,Les
0x56448dce4bc0,7,0x56448dcec0a0,Lesley
0x56448dce4c80,7,0x56448dcec100,Leslie
0x56448dce4d80,7,0x56448dcec160,Lester
0x56448dce4ec0,8,0x56448dcec1c0,Leupold
0x56448dce4980,4,0x56448dcec220,Lev
0x56448dce4a00,6,0x56448dcec240,Levey
0x56448dce4f80,5,0x56448dcec2a0,Levi
0x56448dce5060,6,0x56448dcec300,Levin
0x56448dce51c0,6,0x56448dcec360,Levon
0x56448dce5280,5,0x56448dcec3c0,Levy
0x56448dce53c0,4,0x56448dcec420,Lew
0x56448dce5480,6,0x56448dcec480,Lewes
0x56448dce5540,6,0x56448dcec4e0,Lewie
0x56448dce57c0,7,0x56448dcec540,Lewiss
0x56448dce5880,7,0x56448dcec5a0,Lezley
0x56448dce5c80,5,0x56448dcec600,Liam
0x56448dce5d00,5,0x56448dcec620,Lief
0x56448dce5f00,4,0x56448dcec680,Lin
0x56448dce5fc0,5,0x56448dcec6e0,Linc
0x56448dce61c0,8,0x56448dcec740,Lincoln
0x56448dce6300,5,0x56448dcec7a0,Lind
0x56448dce63c0,7,0x56448dcec800,Lindon
0x56448dce64a0,8,0x56448dcec860,Lindsay
0x56448dce6560,8,0x56448dcec8c0,Lindsey
0x56448dce6740,6,0x56448dcec920,Lindy
0x56448dce6680,5,0x56448dcec940,Link
0x56448dce6840,5,0x56448dcec9a0,Linn
0x56448dce6a20,7,0x56448dceca00,Linoel
0x56448dce6ae0,6,0x56448dceca60,Linus
0x56448dce6ba0,5,0x56448dcecac0,Lion
0x56448dce6c20,7,0x56448dcecb20,Lionel
0x56448dce6ce0,9,0x56448dcecb80,Lionello
0x56448dce6da0,6,0x56448dcecba0,Lisle
0x56448dce6e60,10,0x56448dcecc00,Llewellyn
0x56448dce6f20,6,0x56448dcecc60,Lloyd
0x56448dce70a0,10,0x56448dceccc0,Llywellyn
0x56448dce7020,5,0x56448dcecce0,Lock
0x56448dce7220,6,0x56448dcecd40,Locke
0x56448dce72e0,9,0x56448dcecda0,Lockwood
0x56448dce7460,9,0x56448dcece00,Lodovico
0x56448dce7660,6,0x56448dcece60,Logan
0x56448dce78e0,8,0x56448dcecec0,Lombard
0x56448dce75a0,4,0x56448dcecf20,Lon
0x56448dce7a60,8,0x56448dcecf80,Lonnard
0x56448dce7760,7,0x56448dcecfa0,Lonnie
0x56448dce7820,6,0x56448dcecfc0,Lonny
0x56448dce7be0,7,0x56448dcecfe0,Lorant
0x56448dce7c60,6,0x56448dced040,Loren
0x56448dce7d60,7,0x56448dced0a0,Lorens
0x56448dce7ea0,8,0x56448dced100,Lorenzo
0x56448dce7fe0,6,0x56448dced160,Lorin
0x56448dce8120,6,0x56448dced180,Lorne
0x56448dce82a0,7,0x56448dced1a0,Lorrie
0x56448dce8220,6,0x56448dced1c0,Lorry
