Data Source File,middle-names.txt
Memory Manager Type,Worst Fit
Total Memory Allocated by sbrk (bytes),17039
Size of freedMBList,2056
Size of allocMBList,867
Number of Times Blocks were Split,1180
Number of Times Blocks were Merged,624
freedMBList:
Memory Block Address,Size,Content Starting Address,Contents
0x55cab8e87ca0,7,0x55cab8e3c420,Freddy
0x55cab8e87460,7,0x55cab8e3c440,Fredek
0x55cab8e7eb20,5,0x55cab8e3c540,Jose
0x55cab8e87dc0,5,0x55cab8e3c6a0,Free
0x55cab8e87e80,6,0x55cab8e3c8c0,Fritz
0x55cab8e86740,7,0x55cab8e3c8e0,Fulton
0x55cab8e86860,7,0x55cab8e3c900,Gabbie
0x55cab8e86fe0,6,0x55cab8e3c960,Gabby
0x55cab8e87160,5,0x55cab8e3c9c0,Gabe
0x55cab8e876a0,5,0x55cab8e3ca20,Gabi
0x55cab8e87820,6,0x55cab8e3ca80,Gabie
0x55cab8e87880,5,0x55cab8e3cba0,Gaby
0x55cab8e879a0,5,0x55cab8e3cc00,Gael
0x55cab8e87b20,7,0x55cab8e3cc20,Gaelan
0x55cab8e87b80,5,0x55cab8e3cc80,Gage
0x55cab8e88300,5,0x55cab8e3cce0,Gail
0x55cab8e88420,6,0x55cab8e3cd40,Gaile
0x55cab8e39a30,4,0x55cab8e3cda0,Gal
0x55cab8e39f30,5,0x55cab8e3ce00,Gale
0x55cab8e77580,6,0x55cab8e3ce60,Galen
0x55cab8e77800,7,0x55cab8e3cf00,Galvan
0x55cab8e77c40,7,0x55cab8e3cf20,Galven
0x55cab8e78240,7,0x55cab8e3cf40,Galvin
0x55cab8e78340,4,0x55cab8e3cfe0,Gan
0x55cab8e78d00,7,0x55cab8e3d000,Gannie
0x55cab8e79280,7,0x55cab8e3d020,Gannon
0x55cab8e793c0,6,0x55cab8e3d080,Ganny
0x55cab8e7a740,4,0x55cab8e3d0e0,Gar
0x55cab8e7ac40,7,0x55cab8e3d100,Garald
0x55cab8e7acc0,5,0x55cab8e3d160,Gard
0x55cab8e7b280,7,0x55cab8e3d1c0,Gardie
0x55cab8e3f240,9,0x55cab8e3d240,Ricoriki
0x55cab8e7b6c0,6,0x55cab8e3d2a0,Gardy
0x55cab8e7ba40,5,0x55cab8e3d300,Gare
0x55cab8e7d4c0,6,0x55cab8e3d360,Garek
0x55cab8e7d980,7,0x55cab8e3d380,Gareth
0x55cab8e7db40,6,0x55cab8e3d3e0,Garey
0x55cab8e7ec00,6,0x55cab8e3d480,Garik
0x55cab8e81800,7,0x55cab8e3d4a0,Garner
0x55cab8e823c0,7,0x55cab8e3d4c0,Garold
0x55cab8e52fa0,7,0x55cab8e3d500,Reggis
0x55cab8e825c0,7,0x55cab8e3d520,Garrek
0x55cab8e82780,7,0x55cab8e3d540,Garret
0x55cab8e82a80,7,0x55cab8e3d620,Garrik
0x55cab8e82b00,7,0x55cab8e3d640,Garrot
0x55cab8e7a880,8,0x55cab8e3d680,Joseito
0x55cab8e82c80,6,0x55cab8e3d6e0,Garry
0x55cab8e832c0,6,0x55cab8e3d740,Garth
0x55cab8e83400,5,0x55cab8e3d7a0,Garv
0x55cab8e837c0,7,0x55cab8e3d7c0,Garvey
0x55cab8e83c80,7,0x55cab8e3d7e0,Garvin
0x55cab8e84400,6,0x55cab8e3d840,Garvy
0x55cab8e86380,5,0x55cab8e3d920,Gary
0x55cab8e885a0,4,0x55cab8e3db40,Gav
0x55cab8e88600,6,0x55cab8e3db60,Gavan
0x55cab8e88660,6,0x55cab8e3db80,Gaven
0x55cab8e872e0,6,0x55cab8e3dba0,Gavin
0x55cab8e87340,6,0x55cab8e3dc00,Gawen
0x55cab8e887e0,4,0x55cab8e3dc60,Gay
0x55cab8e87e20,6,0x55cab8e3dcc0,Gayle
0x55cab8e55ba0,7,0x55cab8e3dd40,Ricard
0x55cab8e88980,5,0x55cab8e3de60,Gene
0x55cab8e889e0,5,0x55cab8e3dec0,Geno
0x55cab8e86020,6,0x55cab8e3dee0,Geoff
0x55cab8e86080,6,0x55cab8e3e000,Georg
0x55cab8e52480,5,0x55cab8e3e080,Rene
0x55cab8e38bb0,8,0x55cab8e3e100,Joshuah
0x55cab8e82020,5,0x55cab8e3e180,Judd
0x55cab8e88a40,6,0x55cab8e3e220,Gerek
0x55cab8e88e80,5,0x55cab8e3e300,Geri
0x55cab8e867a0,6,0x55cab8e3e360,Gerik
0x55cab8e40420,6,0x55cab8e3e3a0,Ricky
0x55cab8e86aa0,6,0x55cab8e3e4c0,Gerri
0x55cab8e86b00,6,0x55cab8e3e520,Gerry
0x55cab8e87040,5,0x55cab8e3e580,Gery
0x55cab8e54700,4,0x55cab8e3e600,Rex
0x55cab8e870a0,5,0x55cab8e3e6e0,Gian
0x55cab8e87700,4,0x55cab8e3e7c0,Gib
0x55cab8e87940,5,0x55cab8e3e820,Gibb
0x55cab8e87a00,6,0x55cab8e3e880,Gibby
0x55cab8e88060,5,0x55cab8e3e920,Giff
0x55cab8e381d0,7,0x55cab8e3e9a0,Joshua
0x55cab8e880c0,6,0x55cab8e3ea40,Giffy
0x55cab8e38a30,4,0x55cab8e3eaa0,Gil
0x55cab8e39130,6,0x55cab8e3eb80,Giles
0x55cab8e774c0,5,0x55cab8e3ebe0,Gill
0x55cab8e77740,5,0x55cab8e3ecc0,Gino
0x55cab8e798c0,5,0x55cab8e3efe0,Glen
0x55cab8e79dc0,6,0x55cab8e3f080,Glenn
0x55cab8e79f00,5,0x55cab8e3f0e0,Glyn
0x55cab8e7a180,6,0x55cab8e3f100,Glynn
0x55cab8e39ed0,6,0x55cab8e3f3c0,Judah
0x55cab8e7be40,6,0x55cab8e3f3e0,Goran
0x55cab8e7bf00,6,0x55cab8e3f540,Gordy
0x55cab8e7c200,6,0x55cab8e3f5e0,Grace
0x55cab8e7c540,6,0x55cab8e3f680,Grady
0x55cab8e7d280,6,0x55cab8e3f760,Graig
0x55cab8e7da00,5,0x55cab8e3f7c0,Gram
0x55cab8e7e200,5,0x55cab8e3f820,Gran
0x55cab8e7e280,6,0x55cab8e3f940,Grant
0x55cab8e54740,8,0x55cab8e3f980,Rickard
0x55cab8e7e300,5,0x55cab8e3faa0,Gray
0x55cab8e7e740,5,0x55cab8e3fb00,Greg
0x55cab8e7eb40,6,0x55cab8e3fb20,Gregg
0x55cab8e3f180,4,0x55cab8e3fce0,Jim
0x55cab8e40640,9,0x55cab8e3fd20,Jonathan
0x55cab8e809c0,6,0x55cab8e3fd40,Griff
0x55cab8e80d40,5,0x55cab8e3fea0,Gris
0x55cab8e80f40,5,0x55cab8e3ff40,Griz
0x55cab8e81c80,6,0x55cab8e3ff60,Grove
0x55cab8e81fc0,6,0x55cab8e40040,Guido
0x55cab8e83840,4,0x55cab8e40160,Gun
0x55cab8e871c0,4,0x55cab8e40300,Gus
0x55cab8e87be0,5,0x55cab8e40320,Guss
0x55cab8e87220,4,0x55cab8e40580,Guy
0x55cab8e886c0,4,0x55cab8e405e0,Had
0x55cab8e42260,7,0x55cab8e40760,Renaud
0x55cab8e88720,4,0x55cab8e408c0,Hal
0x55cab8e88780,5,0x55cab8e408e0,Hale
0x55cab8e87640,5,0x55cab8e40980,Hall
0x55cab8e88c80,4,0x55cab8e40aa0,Ham
0x55cab8e3c340,4,0x55cab8e40d20,Joe
0x55cab8e88aa0,5,0x55cab8e40d40,Hank
0x55cab8e87100,5,0x55cab8e40d60,Hans
0x55cab8e44d20,5,0x55cab8e40e60,Joey
0x55cab8e805e0,8,0x55cab8e40ea0,Reynold
0x55cab8e53560,10,0x55cab8e40fa0,Reginauld
0x55cab8e42c20,6,0x55cab8e41120,Jorge
0x55cab8e87760,5,0x55cab8e41140,Harp
0x55cab8e52d80,7,0x55cab8e41180,Reggie
0x55cab8e4f420,5,0x55cab8e411c0,Rich
0x55cab8e559a0,4,0x55cab8e41240,Rem
0x55cab8e87a60,5,0x55cab8e41260,Hart
0x55cab8e88000,5,0x55cab8e41300,Harv
0x55cab8e392d0,7,0x55cab8e41540,Jimmie
0x55cab8e54480,8,0x55cab8e41580,Renault
0x55cab8e392b0,10,0x55cab8e41780,Johnathan
0x55cab8e88120,5,0x55cab8e417a0,Haze
0x55cab8e88360,5,0x55cab8e41b80,Herb
0x55cab8e43b80,7,0x55cab8e41c40,Jessie
0x55cab8e883c0,5,0x55cab8e41c60,Herc
0x55cab8e3bca0,5,0x55cab8e41fa0,Jone
0x55cab8e884e0,4,0x55cab8e42140,Hew
0x55cab8e88c20,5,0x55cab8e42160,Hewe
0x55cab8e38530,3,0x55cab8e42300,Hi
