Data Source File,_data/middle-names.txt
Memory Manager Type,Best Fit
Total Memory Allocated by sbrk (bytes),16625
Size of freedMBList,1617
Size of allocMBList,930
Number of Times Blocks were Split,704
Number of Times Blocks were Merged,587
freedMBList:
Memory Block Address,Size,Content Starting Address,Contents
0x5589170b9b80,6,0x5589170b9c20,Garvy
0x5589170b9be0,7,0x5589170b9c80,Garwin
0x5589170b9c40,8,0x5589170b9ce0,Garwood
0x5589170b9ca0,5,0x5589170b9d40,Gary
0x5589170b9d00,7,0x5589170b9da0,Gaspar
0x5589170ff5c0,8,0x5589170b9e00,Gaspard
0x5589170b9dc0,8,0x5589170b9e60,Gasparo
0x5589170b9e20,7,0x5589170b9ec0,Gasper
0x5589170b9e80,7,0x5589170b9f20,Gaston
0x5589170b9ee0,10,0x5589170b9f80,Gaultiero
0x5589170b7830,9,0x5589170b9fe0,Gauthier
0x558917104a00,4,0x5589170ba000,Gav
0x5589170b9fa0,6,0x5589170ba060,Gavan
0x5589170ba020,6,0x5589170ba0c0,Gaven
0x5589170ba080,6,0x5589170ba120,Gavin
0x5589170ba0e0,7,0x5589170ba180,Gawain
0x5589170ba140,6,0x5589170ba1e0,Gawen
0x558917104d40,4,0x5589170ba200,Gay
0x5589170ba1a0,9,0x5589170ba260,Gayelord
0x5589170ba220,6,0x5589170ba280,Gayle
0x5589170b6370,7,0x5589170ba2c0,Jessie
0x5589170fcc80,7,0x5589170ba380,Justen
0x5589170fe080,8,0x5589170ba4c0,Rickard
0x5589170c1780,7,0x5589170ba540,Kipper
0x5589170c09c0,7,0x5589170ba580,Kinnie
0x5589170bd660,7,0x5589170ba6c0,Kermie
0x5589170bb1e0,5,0x5589170ba800,Kent
0x5589170fd180,8,0x5589170ba880,Kennedy
0x5589170bd960,7,0x5589170ba9c0,Kermit
0x5589170f5500,8,0x5589170baac0,Johnnie
0x5589170c13c0,4,0x5589170bab00,Kit
0x5589170f66c0,5,0x5589170bac40,Joel
0x5589170bb5a0,6,0x5589170bacc0,Kevan
0x558917104e00,4,0x5589170bad60,Gib
0x5589170fed00,4,0x5589170bade0,Rip
0x5589171021c0,6,0x5589170bae60,Kenon
0x5589170c0880,7,0x5589170baea0,Kimble
0x558917100240,7,0x5589170bafe0,Karlik
0x558917104f20,4,0x5589170bb000,Gil
0x558917102100,7,0x5589170bb100,Keelby
0x558917100f40,7,0x5589170bb140,Kaspar
0x5589170bc2e0,6,0x5589170bb300,Kevin
0x5589170fe140,7,0x5589170bb3c0,Justis
0x5589170bcb60,7,0x5589170bb440,Kennan
0x5589170bd560,7,0x5589170bb480,Rooney
0x5589170fecc0,6,0x5589170bb4c0,Keefe
0x5589170f6fc0,5,0x5589170bb540,John
0x5589170fa100,4,0x5589170bb5c0,Ken
0x5589170bd060,7,0x5589170bb640,Ronald
0x5589170ff4c0,8,0x5589170bb6c0,Riobard
0x5589170ba980,1
0x5589170c0f40,5,0x5589170bb8c0,Kirk
0x5589170bbae0,8,0x5589170bba40,Rodrigo
0x5589170f9a00,6,0x5589170bba80,Kaine
0x5589170c1a40,4,0x5589170bbb80,Rog
0x558917102440,6,0x5589170bbbc0,Kerby
0x5589170f77c0,6,0x5589170bbd40,Jozef
0x5589170bfc60,8,0x5589170bbe00,Rowland
0x5589170ff7c0,7,0x5589170bbec0,Kaiser
0x5589170fb1c0,6,0x5589170bbfc0,Robby
0x5589170fd200,4,0x5589170bc080,Kin
0x5589170bffc0,7,0x5589170bc1c0,Killie
0x5589170f6c80,6,0x5589170bc200,Richy
0x5589170f55c0,8,0x5589170bc240,Joseito
0x5589170fbb00,6,0x5589170bc3c0,Rodge
0x5589170f6bc0,5,0x5589170bc440,Joey
0x5589170ba7a0,8,0x5589170bc640,Robinet
0x558917105260,4,0x5589170bc6e0,Gun
0x5589170f65c0,5,0x5589170bc760,Jody
0x5589170fea00,6,0x5589170bc7a0,Keary
0x5589170beda0,6,0x5589170bc820,Kirby
0x558917105740,4,0x5589170bc840,Gus
0x5589170f8140,7,0x5589170bc940,Joseph
0x5589170c1cc0,7,0x5589170bc980,Kippie
0x5589170f6280,7,0x5589170bc9c0,Jordon
0x558917100880,7,0x5589170bca00,Karoly
0x558917105f60,4,0x5589170bcaa0,Guy
0x558917106600,4,0x5589170bcac0,Had
0x5589170ff6c0,5,0x5589170bcb00,Ross
0x5589170bef20,6,0x5589170bcd40,Klaus
0x5589171001e0,4,0x5589170bcd60,Hal
0x5589170fb560,4,0x5589170bcf40,Ham
0x5589171024c0,7,0x5589170bcfc0,Keenan
0x5589170f8c00,4,0x5589170bd0c0,Jud
0x5589170bcfa0,6,0x5589170bd280,Kiley
0x5589170fa880,7,0x5589170bd3c0,Josias
0x5589170f6a40,6,0x5589170bd4c0,Jonas
0x5589170fe980,7,0x5589170bd500,Robers
0x5589170b7f70,8,0x5589170bd6c0,Reinold
0x5589170fca00,7,0x5589170bd880,Julius
0x5589170f8dc0,9,0x5589170bd980,Johannes
0x5589170fec40,4,0x5589170bd9c0,Ron
0x558917100200,10,0x5589170bda40,Roosevelt
0x5589170f6940,6,0x5589170bdac0,Jonah
0x558917101cc0,7,0x5589170bdbc0,Rockie
0x5589170be620,6,0x5589170bde40,Kinny
0x5589170f93c0,6,0x5589170bdf40,Julio
0x5589170bbd20,6,0x5589170be1c0,Keven
0x5589170be320,7,0x5589170be200,Khalil
0x5589170fff80,7,0x5589170be2c0,Karlan
0x5589170bbfa0,9,0x5589170be440,Richmond
0x5589170fe300,6,0x5589170be480,Keane
0x5589170f7880,6,0x5589170be540,Judah
0x5589170b7bf0,7,0x5589170be640,Jimmie
